listener,psi_star,alpha,c,switch_type,theta_star,mean_abias,abias_r150,std_150
cred,low,1.5,2.0,hard,0.7,0.023417675050497057,0.00025367879867554954,0.002255095697619254
cred,low,1.5,2.0,hard,0.9,0.06926025290886564,0.04354734361171724,0.01487336224710134
cred,low,1.5,2.0,hard_amnesic,0.1,0.039822407639523355,0.022126778289675707,0.015360972898910176
cred,low,1.5,2.0,hard_amnesic,0.3,0.019038290200233454,0.002068591803312294,0.004242951052292483
cred,low,1.5,2.0,hard_amnesic,0.5,0.06518419904708862,0.042315266728401184,0.02230025233584456
cred,low,1.5,2.0,hard_amnesic,0.7,0.023417675050497057,0.00025367879867554954,0.002255095697619254
cred,low,1.5,2.0,hard_amnesic,0.9,0.06926025290886564,0.04354734361171724,0.01487336224710134
cred,low,1.5,2.0,soft,0.1,0.039822407639523355,0.022126778289675707,0.015360972898910176
cred,low,1.5,2.0,soft,0.3,0.019038290200233454,0.002068591803312294,0.004242951052292483
cred,low,1.5,2.0,soft,0.5,0.06518419904708862,0.042315266728401184,0.02230025233584456
cred,low,1.5,2.0,soft,0.7,0.023417675050497057,0.00025367879867554954,0.002255095697619254
cred,low,1.5,2.0,soft,0.9,0.06926025290886564,0.04354734361171724,0.01487336224710134
cred,low,1.5,3.5,hard,0.1,0.039822407639523355,0.022126778289675707,0.015360972898910176
cred,low,1.5,3.5,hard,0.3,0.019038290200233454,0.002068591803312294,0.004242951052292483
cred,low,1.5,3.5,hard,0.5,0.06518419904708862,0.042315266728401184,0.02230025233584456
cred,low,1.5,3.5,hard,0.7,0.023417675050497057,0.00025367879867554954,0.002255095697619254
