score_type,round,emp_var_sus,mean_sb_sq_naive,mean_sb_sq_corrected,theo_var_sus_naive,theo_var_sus_corrected,ratio_naive,ratio_corrected
sus_4,6,0.16072936734139623,0.33278455781540045,0.0,0.05546409296923341,0.0,2.897899501043941,inf
sus_4,7,0.1410883678720098,0.3310774823606904,0.0,0.047296783194384344,0.0,2.98304363094109,inf
sus_4,8,0.11848140735565528,0.332082118420456,0.0,0.041510264802557,0.0,2.8542676834081995,inf
sus_4,9,0.11345771763855705,0.3331526503456557,0.0,0.0370169611495173,0.0,3.0650197670274326,inf
sus_4,10,0.1151500840012425,0.33335535058519494,0.0,0.033335535058519494,0.0,3.4542743591515817,inf
sus_4,11,0.106105233955979,0.33216964931513643,0.0,0.030197240846830585,0.0,3.5137393675858135,inf
sus_4,12,0.10918940498763194,0.33224641286366535,0.0,0.027687201071972114,0.0,3.9436779724970066,inf
sus_4,13,0.1026597992943314,0.33207174086390745,0.0,0.02554398006645442,0.0,4.018942977063672,inf
sus_4,14,0.09966268822572011,0.3336573736425377,0.0,0.023832669545895552,0.0,4.181767721563695,inf
sus_4,15,0.09303041663784271,0.334341655186241,0.0,0.022289443679082734,0.0,4.173743318912262,inf
sus_4,16,0.0896680877332258,0.33453118674335447,0.0,0.020908199171459654,0.0,4.288656665162514,inf
sus_4,17,0.08504778494832332,0.33532748258685574,0.0,0.019725146034520927,0.0,4.311642854226855,inf
sus_4,18,0.081695742422739,0.3356936746772783,0.0,0.018649648593182126,0.0,4.380551301787265,inf
sus_4,19,0.08488431989046533,0.3362867414681892,0.0,0.017699302182536274,0.0,4.795913365116724,inf
sus_4,20,0.0837474391468077,0.3369328027772386,0.0,0.01684664013886193,0.0,4.971165671997624,inf
sus_4,21,0.08390049840116395,0.33765221796809947,0.0,0.016078677046099974,0.0,5.218121998508252,inf
sus_4,22,0.08337158449152325,0.3383886811114807,0.0,0.015381303686885485,0.0,5.420319771893466,inf
sus_4,23,0.07821162848754919,0.33881965441587847,0.0,0.014731289322429498,0.0,5.309218139410655,inf
sus_4,24,0.07575138357175552,0.3396505372643631,0.0,0.014152105719348463,0.0,5.352658118444509,inf
sus_4,25,0.07123905541397386,0.3397414717845198,0.0,0.013589658871380791,0.0,5.242151851508216,inf
sus_4,26,0.072183415996804,0.33987901088227496,0.0,0.013072269649318267,0.0,5.521873242613875,inf
sus_4,27,0.07178041643394109,0.3400556173384788,0.0,0.012594652494017733,0.0,5.699277250248524,inf
sus_4,28,0.07199360837642882,0.34053270192777146,0.0,0.012161882211706124,0.0,5.919610724985737,inf
