score_type,round,emp_var,theo_var_mean,n,ratio_emp_over_theo
surp1,49,0.1650777647596826,0.3678842083722445,1000,0.44872207342112463
surp1,50,0.177359953818273,0.36766985009668346,1000,0.48238916998941833
surp1,51,0.18078712514003684,0.3682756973601274,1000,0.4909015893146208
surp1,52,0.17681554795682655,0.36644048687423614,1000,0.48252186723436585
surp1,53,0.18507770134661708,0.3761566235568673,1000,0.4920229759522952
surp1,54,0.1595869267706733,0.37473151075285493,1000,0.4258700487985516
surp1,55,0.17964471674311663,0.37110890709091887,1000,0.4840754649392046
surp1,56,0.1464731865880939,0.36890732724587266,1000,0.3970460215079197
surp1,57,0.18605427022414547,0.36902619668234565,1000,0.5041763210764663
surp1,58,0.16612543012194703,0.36922196820800796,1000,0.4499337645813026
surp1,59,0.17212495815844844,0.3719961482254215,1000,0.4627062913945671
surp1,60,0.16465337965880625,0.36695726631743136,1000,0.44869905782537384
surp1,61,0.16059595502252805,0.3739978198068341,1000,0.4294034524197872
surp1,62,0.16049024291434194,0.36718071350047604,1000,0.43708788891531436
surp1,63,0.16894819816874915,0.367561594805916,1000,0.4596459492944552
surp1,64,0.17375199493076837,0.3667278425092048,1000,0.4737900284361617
surp1,65,0.1573893037884769,0.3728287982625117,1000,0.4221489984731755
surp1,66,0.16897486688150815,0.3732975319445709,1000,0.45265465860781096
surp1,67,0.16653227233410106,0.37076553299912135,1000,0.44915791116564147
surp1,68,0.17764494200243683,0.36764908931194906,1000,0.4831915736141146
surp1,69,0.18488333165341878,0.3642087692023345,1000,0.5076300937463362
surp1,70,0.16936046927997636,0.3713931731553431,1000,0.4560139537329022
surp1,71,0.18198600276267105,0.3633821847446652,1000,0.5008115708549269
surp1,72,0.17888194177951652,0.3708603871337763,1000,0.482343081077005
surp1,73,0.17137788277003363,0.36853417844672237,1000,0.46502575010097497
surp1,74,0.16794965367853154,0.3689110724648907,1000,0.4552578282792402
surp1,75,0.18122931995818664,0.37123992680060136,1000,0.48817303009416785
surp1,76,0.17411354527484169,0.37134261057171275,1000,0.46887575063572545
surp1,77,0.1697051603200742,0.37429966611805593,1000,0.45339383302187714
surp1,78,0.16211657791074294,0.3701159378196675,1000,0.4380156630534819
surp1,79,0.16833518991571084,0.37243376425806934,1000,0.45198691974411553
surp1,80,0.17038108120216422,0.36991839414963407,1000,0.4605909949242592
surp1,81,0.172045978894493,0.37568025646135317,1000,0.45795853238348616
surp1,82,0.16839104729421625,0.3706453438906378,1000,0.454318528668477
surp1,83,0.17185972196411026,0.37265330919437084,1000,0.4611785746265052
surp1,84,0.1856860218086573,0.36405817635995286,1000,0.5100449155276358
surp1,85,0.1893563612341368,0.3625663682454874,1000,0.5222667567057044
surp1,86,0.17500748520495396,0.36743520715227923,1000,0.4762948182383191
surp1,87,0.1871303008382735,0.36769293960458066,1000,0.508930905879005
surp1,88,0.16959746250890978,0.3670284291997367,1000,0.46208263179693615
surp1,89,0.16717778533226216,0.37103315032961615,1000,0.45057371607832286
surp1,90,0.1898961857661107,0.36958016826598844,1000,0.5138159513728063
surp1,91,0.17601532511324414,0.36667626762637967,1000,0.4800292264690357
surp1,92,0.17273328929154896,0.3660582778864654,1000,0.47187374176830654
surp1,93,0.18989527496599334,0.3695464470263145,1000,0.5138603726109464
surp1,94,0.17321276658732238,0.36446062195123335,1000,0.4752578362512346
surp1,95,0.15940066024923466,0.3650948691686882,1000,0.4366006583773306
surp1,96,0.16707745285902015,0.3715281061322612,1000,0.44970340090378474
surp1,97,0.16927898547163778,0.36878364199353786,1000,0.4590197779830051
surp1,98,0.17650421108679315,0.3659391668915587,1000,0.4823321116077686
surp1,99,0.15661603101323335,0.3666495763951505,1000,0.4271545396371685
surp1,100,0.19145763001628377,0.3664973213377749,1000,0.5223984429611442
surp1,101,0.1737314216899888,0.3737113506616862,1000,0.46488130848148784
surp1,102,0.1720364993347577,0.3710413642210976,1000,0.46365854571471415
surp1,103,0.17770467636140092,0.3671547241197708,1000,0.4840048750222025
surp1,104,0.17180282043772369,0.368202029776298,1000,0.4665993301071775
surp1,105,0.16467129093639185,0.368040931951475,1000,0.44742656764629435
surp1,106,0.15154245003558212,0.36535556026179355,1000,0.4147807410594633
surp1,107,0.16845683726035424,0.36170340946009033,1000,0.46573195843469495
surp1,108,0.1638242918483069,0.3625993492692894,1000,0.4518052560724276
surp1,109,0.16085847251875912,0.37322535372326193,1000,0.43099556585331017
surp1,110,0.1765438056179775,0.36158416629353807,1000,0.4882509304200485
surp1,111,0.15766437595273405,0.3626645517442855,1000,0.434738865969738
surp1,112,0.1649151825890359,0.36836259721710657,1000,0.44769795803084134
surp1,113,0.163825357515449,0.3651428750482863,1000,0.4486609727597309
surp1,114,0.1755495329306838,0.37530695943092734,1000,0.46774920773349654
surp1,115,0.18761591697874458,0.3652295781373271,1000,0.5136931075943707
surp1,116,0.1740243643026949,0.3624363204751201,1000,0.4801515589678354
surp1,117,0.17593435433132001,0.363394342952139,1000,0.48414169825007847
surp1,118,0.1928333595938475,0.3677108181319177,1000,0.5244157911194981
surp1,119,0.1841275308171,0.3569399070418797,1000,0.5158502234817256
surp1,120,0.1591759402124974,0.3705762876917118,1000,0.42953622641100647
surp1,121,0.17415988638383217,0.36335530079927086,1000,0.4793101573053524
surp1,122,0.1660706163678582,0.36513414610521777,1000,0.45482083267009205
surp1,123,0.16404569786451384,0.3582756245663787,1000,0.4578756873651633
surp1,124,0.16752536592461814,0.36738119576426337,1000,0.4559987496804647
surp1,125,0.1873731675484808,0.3681022949160202,1000,0.5090247198573663
surp1,126,0.16193824989902103,0.3600862659899009,1000,0.44972070638085043
surp1,127,0.15775697059957,0.36356380561213614,1000,0.4339182508389496
surp1,128,0.17874098356055496,0.3630898866929416,1000,0.4922775051339089
surp1,129,0.1581908260574736,0.36552900835973534,1000,0.4327722901318686
surp1,130,0.16980705851826397,0.3674421348931764,1000,0.46213278879307257
surp1,131,0.1791730164477878,0.3690108783747121,1000,0.4855494158788635
surp1,132,0.1592891268738471,0.36571419257098786,1000,0.4355563172269501
surp1,133,0.16075087661475243,0.371283998058901,1000,0.4329593450166702
surp1,134,0.17492502366044388,0.3639533682818898,1000,0.4806248242356165
surp1,135,0.17210276629849372,0.3655824874272285,1000,0.4707631580212164
surp1,136,0.18048944496262856,0.36465405900233877,1000,0.4949607456898511
surp1,137,0.16618616001180772,0.36115975319359084,1000,0.4601458455497606
surp1,138,0.1598586224160763,0.364825137211086,1000,0.4381787495185204
surp1,139,0.17885247351469713,0.3638775052812527,1000,0.49151835691644713
surp1,140,0.18415490343395435,0.37116017794530887,1000,0.496160187370882
surp1,141,0.18001566689444756,0.3549599217675008,1000,0.5071436403244366
surp1,142,0.18338257653071002,0.3616916988013052,1000,0.5070135066369078
surp1,143,0.18106521925205576,0.36612281052733514,1000,0.4945477693434707
surp1,144,0.17696393117816073,0.3661874963872305,1000,0.4832604415062483
surp1,145,0.1909299365351344,0.3565407544049558,1000,0.535506626314808
surp1,146,0.14813622542224691,0.3611193969867342,1000,0.41021398091138467
surp1,147,0.19947668322539486,0.3589348115126176,1000,0.5557462715437471
surp1,148,0.16955284059038847,0.3652916214582532,1000,0.46415748577404903
