score_type,round,emp_var_sus,mean_sb_sq,theo_var_sus,ratio
surp2,113,0.0034047362758071282,0.3842956695457965,0.003400846633148642,1.0011437277472537
surp2,114,0.0033845704983324005,0.38423542661020665,0.0033704861983351463,1.0041787146329841
surp2,115,0.0033364739884962215,0.3841743479379252,0.0033406465038080453,0.9987509856828409
surp2,116,0.0032819019083860086,0.38411284517682565,0.0033113176308347037,0.9911166110509066
surp2,117,0.003293092441461193,0.38404998975061716,0.00328247854487707,1.0032335006730473
surp2,118,0.003248212846494611,0.38398803511488383,0.0032541358908041,0.9981798411288763
surp2,119,0.00320869347172124,0.3839264550258173,0.003226272731309389,0.9945512171312887
surp2,120,0.0031652312547938762,0.3838660896571755,0.0031988840804764627,0.9894798233271479
surp2,121,0.0031078804073437012,0.383805928632518,0.0031719498234092395,0.9798012517118962
surp2,122,0.0030876730667716147,0.38374655186009937,0.0031454635398368803,0.9816273587872322
surp2,123,0.0030544427847915205,0.38368852653909136,0.0031194189149519624,0.9791704378501397
surp2,124,0.003027969025376801,0.38362983814423335,0.0030937890172922046,0.9787251194093993
surp2,125,0.0030189142219392297,0.3835732019576842,0.0030685856156614736,0.9838129353573416
surp2,126,0.0030224124210306933,0.3835148940575462,0.003043769000456716,0.9929835084650583
surp2,127,0.003011464812981226,0.38345650062575115,0.003019342524612214,0.997390918199319
surp2,128,0.002978801613949689,0.38339874267998847,0.00299530267718741,0.9944910197679202
surp2,129,0.002951532367792606,0.3833429658228283,0.002971650897851382,0.993229847397848
surp2,130,0.0029301280148906683,0.3832889644953752,0.0029483766499644247,0.993810616064275
surp2,131,0.002917283917715482,0.38323500125794163,0.0029254580248697835,0.9972058709833427
surp2,132,0.002881505612552711,0.38318018400273807,0.0029028801818389246,0.9926367717758598
surp2,133,0.0028523693993275302,0.3831267457725996,0.0028806522238541323,0.9901817983120637
surp2,134,0.002841286068344524,0.38307441826508165,0.0028587643154110573,0.9938860832380231
surp2,135,0.0028082639234905753,0.3830213901619891,0.0028371954826814007,0.98980276143557
surp2,136,0.0027772183368106377,0.38296865353544207,0.0028159459818782504,0.9862470213147408
surp2,137,0.0027321735373487064,0.3829165820307909,0.0027950115476700066,0.9775177993902445
surp2,138,0.0027160327653879776,0.38286446750469877,0.0027743801993094113,0.9789692004232307
surp2,139,0.0027214201844301795,0.3828143118083406,0.0027540597971823064,0.9881485460898414
surp2,140,0.0026966277106278027,0.3827641308649841,0.002734029506178458,0.9863199005474764
surp2,141,0.0026840711796847186,0.3827137998371886,0.0027142822683488554,0.9888695847825308
surp2,142,0.0026684967551177854,0.3826648771264234,0.0026948230783550944,0.9902307786181724
surp2,143,0.0026605277574694524,0.38261581616063517,0.0026756350780463996,0.9943537440135604
surp2,144,0.002642798252797018,0.38256675881094554,0.0026567136028537884,0.9947621941477536
surp2,145,0.002649886919146297,0.38251718783058536,0.0026380495712454164,1.0044871590094087
surp2,146,0.0026163004628713396,0.38246740410490576,0.00261963975414319,0.9987252860754731
surp2,147,0.002583694641396356,0.38241962873190927,0.0026014940730061855,0.9931579964780541
surp2,148,0.0025740586867793076,0.382371755615584,0.0025835929433485408,0.9963096908923756
surp2,149,0.0025700326853455883,0.38232387965333314,0.0025659320782102897,1.0015980965241134
surp2,150,0.0025409434548398172,0.3822765058155476,0.0025485100387703176,0.9970309773885955
sus_1,1,0.4093413502131573,0.3619087771956467,0.3619087771956467,1.1310622344808972
sus_1,2,0.16201590047975156,0.28317486224962,0.14158743112481,1.1442816582845814
sus_1,3,0.09315347788743325,0.2701483702527225,0.09004945675090749,1.0344701817037278
sus_1,4,0.06358733772113825,0.2609117514437789,0.06522793786094473,0.9748481985847235
sus_1,5,0.05123694843299794,0.25660916189366406,0.051321832378732814,0.9983460460821338
sus_1,6,0.044359773299263404,0.256360095112311,0.0427266825187185,1.0382218015599374
