score_type,round,emp_var_score,theo_var,ratio
sus_1,1,0.4093413502131573,0.3619087771956466,1.1310622344808974
sus_1,2,0.19028802596555658,0.20444094730359338,0.9307725701494631
sus_1,3,0.2623513387969257,0.2440953862589275,1.0747902400688267
sus_1,4,0.19663420846593793,0.23320189501694835,0.8431930128683011
sus_1,5,0.25649667823620137,0.23939880369320465,1.0714200500555051
sus_1,6,0.27794361615003865,0.25511476120554544,1.0894846493265047
sus_1,7,0.2629663607436947,0.25964530132254887,1.0127907549423365
sus_1,8,0.25845952682306794,0.2639368044764469,0.9792477685548863
sus_1,9,0.28308768186335576,0.2755799798098413,1.0272432781898562
sus_1,10,0.25371734408229546,0.2786161432970578,0.9106340396499729
sus_1,11,0.2828080389379639,0.2858913510491794,0.9892150913278762
sus_1,12,0.28572252524547814,0.28826141950016954,0.9911923896749911
sus_1,13,0.2639027598453592,0.2933949289869664,0.8994796220799122
sus_1,14,0.26819197178848636,0.2924230398865423,0.9171369393210009
sus_1,15,0.2926495120995774,0.2959656377644017,0.9887955720472387
sus_1,16,0.3059335668708239,0.296539557016191,1.0316787748290863
sus_1,17,0.2960734554750461,0.3000935690913458,0.9866037995133576
sus_1,18,0.3017962485584364,0.3019420227284898,0.9995172113880137
sus_1,19,0.2975545046400184,0.3010389816173745,0.9884251635497993
sus_1,20,0.27649519850575577,0.2998360087887554,0.9221547459316536
sus_1,21,0.2979987747166531,0.3026711745514118,0.9845627855322409
sus_1,22,0.2914562017731346,0.3045295355048384,0.9570703915138106
sus_1,23,0.29217802803684495,0.30575657589411925,0.9555903325461872
sus_1,24,0.30424453178694366,0.3067671957546916,0.9917766175697443
sus_1,25,0.2991889058545357,0.30872205475358094,0.9691206094535277
sus_1,26,0.2418891754500766,0.31005216180357087,0.7801563905989536
sus_1,27,0.32113116178338574,0.3108784751599046,1.0329797250137938
sus_1,28,0.31353988403842087,0.31207243006273677,1.0047022865024926
sus_1,29,0.3125712930730434,0.31315565508530796,0.9981339566992479
sus_1,30,0.32269376941282246,0.3141894026975586,1.0270676434095083
sus_1,31,0.31701436794346716,0.31331546590734305,1.0118056797018056
sus_1,32,0.3526142943452221,0.314469404562625,1.12129920821916
sus_1,33,0.35577595710434756,0.3147194954157741,1.1304541418202707
sus_1,34,0.34880238484487963,0.31503202183109064,1.107196604388031
sus_1,35,0.2992880431702762,0.3151456570100019,0.9496816361355649
sus_1,36,0.3071744544057665,0.3154456428936506,0.973779354147958
sus_1,37,0.3411998655263576,0.31624580365824295,1.0789071715085325
sus_1,38,0.31008849709130676,0.31572401923190696,0.9821504801747099
sus_1,39,0.3209083994822195,0.31596201272058944,1.0156550045970376
sus_1,40,0.3093634063006443,0.31713431506167944,0.9754964745473104
sus_1,41,0.2823235953170705,0.3188495448620792,0.8854445611305223
sus_1,42,0.30043354536237804,0.3185824668008106,0.9430322653324801
sus_1,43,0.3319800765842028,0.3181692050283079,1.043407317042723
sus_1,44,0.31484674002913754,0.3186697958252599,0.9880030807870518
sus_1,45,0.2904245686851488,0.3190536894867216,0.910268642097103
sus_1,46,0.2946933270473634,0.3198549266826561,0.9213343377378809
sus_1,47,0.3210261115718691,0.3201695485220288,1.002675342029854
sus_1,48,0.31896138629957954,0.31934081219971877,0.9988118465111753
sus_1,49,0.30896007446789187,0.3189931844808314,0.968547572484131
sus_1,50,0.3163871598949056,0.31997056355301917,0.9888008333694116
sus_1,51,0.3237159292693264,0.3206833623611205,1.0094565769981885
sus_1,52,0.31583333089436993,0.32078514168221683,0.9845634658703976
sus_1,53,0.2940182712026101,0.3208776397581233,0.9162940472394409
sus_1,54,0.29599102663013943,0.3213216071965469,0.921167515663168
sus_1,55,0.3210507929704932,0.32159080380161414,0.9983208138269586
sus_1,56,0.35344968830430123,0.32218706742254266,1.0970325132285903
sus_1,57,0.3183588458688551,0.3226623751443246,0.98666243848994
sus_1,58,0.3207027559957674,0.32274882489571444,0.9936604915583871
sus_1,59,0.33183266711481185,0.3230094529461253,1.0273156531123506
sus_1,60,0.3494133284897982,0.3232436406332818,1.0809596371493841
sus_1,61,0.3647944740885549,0.32274383947688845,1.1302910527427052
sus_1,62,0.32292259285859276,0.3229736720901989,0.9998418470729346
sus_1,63,0.3150060832637616,0.3228954444851222,0.9755668240103521
sus_1,64,0.30075382081805413,0.32287517381323894,0.9314863613268065
sus_1,65,0.3392954550310845,0.32328014820847767,1.0495400256135705
sus_1,66,0.3280696635104786,0.32322364848451507,1.014992761354823
sus_1,67,0.346836213128845,0.3233078223121832,1.0727739608908782
sus_1,68,0.33411677487793584,0.3236478851331927,1.0323465414904065
sus_1,69,0.3209856165978674,0.3231523901179155,0.99329488629418
sus_1,70,0.33799475333693313,0.32414668183011147,1.0427216204362677
sus_1,71,0.3233129630094771,0.3239456881811172,0.9980468171217444
