theta_star,psi_star,alpha,c,switch_type,bin,n,n_pers_only,n_inf_only,n_both,n_neither,sum_p_pers,sum_p_inf
0.3,low,1.5,3.5,soft,0,187,25,14,41,107,63.019657991493446,61.67195185201977
0.3,low,1.5,3.5,soft,1,755,64,73,187,431,248.9799383496184,246.18326526938523
0.3,low,1.5,3.5,soft,2,1614,150,143,387,934,530.6652421559096,527.2900755520591
0.3,low,1.5,3.5,soft,3,2130,216,196,453,1265,697.3928633516807,694.2337009254276
0.3,low,1.5,3.5,soft,4,1239,92,79,308,760,404.631464814977,404.11371079427784
0.3,low,1.5,3.5,soft,5,585,48,43,142,352,191.4517062038296,191.15088863961734
0.3,low,3.0,2.0,hard,0,417,51,41,90,235,137.81562218004717,134.9855642338572
0.3,low,3.0,2.0,hard,1,278,33,25,63,157,91.61226465873469,89.99116115101711
0.3,low,3.0,2.0,hard,2,413,46,48,76,243,135.7515554280902,133.73312614485783
0.3,low,3.0,2.0,hard,3,535,54,36,124,321,176.20775787498246,173.92364469134776
0.3,low,3.0,2.0,hard,4,373,22,19,107,225,124.17946262029156,123.27525496045388
0.3,low,3.0,2.0,hard,5,155,8,4,57,86,57.378081744650345,55.89676472193743
0.3,low,3.0,2.0,soft,0,264,41,39,49,135,88.688201665788,84.47340578916496
0.3,low,3.0,2.0,soft,1,280,41,38,57,144,92.46952976123136,91.03973520580409
0.3,low,3.0,2.0,soft,2,392,39,46,97,210,129.23103840684263,126.97123018164272
0.3,low,3.0,2.0,soft,3,621,57,58,142,364,204.57627933646575,201.97816049864426
0.3,low,3.0,2.0,soft,4,282,22,35,61,164,92.65044205422987,92.10629967455364
0.3,low,3.0,2.0,soft,5,165,12,9,51,93,59.451967780921585,58.19978326696402
0.3,low,3.0,3.5,hard,0,207,24,22,45,116,69.19362698445306,65.83409033542034
0.3,low,3.0,3.5,hard,1,462,81,62,68,251,151.62225399164976,149.13215079796632
0.3,low,3.0,3.5,hard,2,1010,124,119,198,569,332.69892225772526,328.43004164752847
0.3,low,3.0,3.5,hard,3,2124,198,199,523,1204,701.6498424755423,693.6387182841773
0.3,low,3.0,3.5,hard,4,1409,134,112,337,826,465.67932530451094,462.6576275637347
0.3,low,3.0,3.5,hard,5,478,30,44,129,275,159.80460910457535,158.88616206046393
0.3,low,3.0,3.5,soft,0,590,61,77,138,314,195.00322200685198,190.21316585449154
0.3,low,3.0,3.5,soft,1,724,85,79,158,402,238.29037104538,235.5552116872201
0.3,low,3.0,3.5,soft,2,1353,130,153,317,753,444.8748075545172,440.2613034667378
0.3,low,3.0,3.5,soft,3,1954,195,193,443,1123,647.8352723578423,642.6685929265259
0.3,low,3.0,3.5,soft,4,773,54,34,194,491,254.2583625945104,253.0098308491727
0.3,low,3.0,3.5,soft,5,370,28,31,93,218,122.45162496056427,122.00464666256335
0.3,low,10.0,2.0,hard,0,95,12,1,22,60,36.51678714144677,33.24821646602196
0.3,low,10.0,2.0,hard,1,40,5,4,10,21,14.007505519902193,12.473953941994857
0.3,low,10.0,2.0,hard,2,49,4,3,9,33,17.767840179515535,17.111764219676076
0.3,low,10.0,2.0,hard,3,82,6,8,33,35,37.632663428506085,36.689190263343455
0.3,low,10.0,2.0,hard,4,40,11,10,6,13,14.929194950020252,16.294856825120995
0.3,low,10.0,2.0,hard,5,23,4,5,3,11,9.42643745514883,10.254498904560599
0.3,low,10.0,2.0,soft,0,77,13,4,14,46,27.747817117007976,21.323060678816834
0.3,low,10.0,2.0,soft,1,12,0,0,3,9,4.000000546926239,4.000000546926239
0.3,low,10.0,2.0,soft,2,7,0,0,2,5,2.4163917423347057,2.1155789467600474
0.3,low,10.0,2.0,soft,3,33,2,2,7,22,11.387448233684973,10.059482485374064
0.3,low,10.0,2.0,soft,4,6,0,0,1,5,2.0111524134713625,1.9687245154467066
0.3,low,10.0,2.0,soft,5,6,2,0,0,4,2.071431874862209,1.8867467554234576
0.3,low,10.0,3.5,hard,0,107,13,8,25,61,39.0052927549669,30.750045948272653
0.3,low,10.0,3.5,hard,1,61,9,6,19,27,22.20569565433455,19.29630625808221
0.3,low,10.0,3.5,hard,2,107,11,12,25,59,37.623372574438584,35.56172771468403
0.3,low,10.0,3.5,hard,3,237,38,34,45,120,84.08989682099227,82.3834650724755
0.3,low,10.0,3.5,hard,4,156,16,23,37,80,62.97025706935993,59.78319376557937
0.3,low,10.0,3.5,hard,5,84,5,12,28,39,38.5848315768503,41.9079505230906
0.3,low,10.0,3.5,soft,0,115,12,6,29,68,41.270882840819716,36.257847204404584
0.3,low,10.0,3.5,soft,1,23,2,4,4,13,7.731499963943427,7.563264533964481
0.3,low,10.0,3.5,soft,2,60,11,6,10,33,20.80140867316821,18.394352214445586
0.3,low,10.0,3.5,soft,3,78,10,9,14,45,26.210585952056515,24.41222151729283
0.3,low,10.0,3.5,soft,4,51,10,4,9,28,16.989649252557488,16.51251030275921
0.3,low,10.0,3.5,soft,5,31,15,4,3,9,10.809295857679118,9.269238785519791
0.5,high,1.5,2.0,hard,0,102,15,13,21,53,35.91488818333748,33.06504152046312
0.5,high,1.5,2.0,hard,1,146,29,26,23,68,50.623767192785294,46.91771023246032
0.5,high,1.5,2.0,hard,2,216,31,31,39,115,74.9066290254607,71.31718229947128
0.5,high,1.5,2.0,hard,3,282,45,36,51,150,100.25001789824175,94.1021411086968
0.5,high,1.5,2.0,hard,4,146,27,24,25,70,50.80397098598493,48.06945853774782
0.5,high,1.5,2.0,hard,5,76,10,9,17,40,27.0203956087486,25.877896668155874
0.5,high,1.5,2.0,soft,0,201,34,29,44,94,71.1717359754143,66.08197325102529
