psi_star,alpha,c,switch_type,block,f_pers_only,f_inf_only,f_both,p_switched,mean_p_pers,mean_p_inf
low,1.5,2.0,hard,11-25,0.16866666666666666,0.164,0.15533333333333335,0.49,0.3259875335860285,0.3124648113655062
low,1.5,2.0,hard,26-50,0.16933333333333334,0.1692,0.15066666666666667,0.7125333333333334,0.3204146258280216,0.3142856663922079
low,1.5,2.0,hard,51-150,0.16033333333333336,0.15913333333333332,0.15553333333333333,0.9427000000000001,0.31642713972611924,0.3143804581231511
low,1.5,2.0,soft,1-5,0.19666666666666668,0.11333333333333333,0.18266666666666664,0.13866666666666666,0.3727604704553936,0.3009530679167352
low,1.5,2.0,soft,6-10,0.18066666666666667,0.162,0.14333333333333334,0.31466666666666665,0.33554342426392614,0.31028182723696
low,1.5,2.0,soft,11-25,0.17422222222222222,0.1688888888888889,0.14955555555555555,0.5137777777777778,0.32534828160605933,0.31317390915247884
low,1.5,2.0,soft,26-50,0.1628,0.16293333333333335,0.15453333333333333,0.7694666666666667,0.3197811351467663,0.3134360865051701
low,1.5,2.0,soft,51-150,0.16056666666666666,0.1598,0.15803333333333333,0.9618,0.31688534433049154,0.314316956122892
low,1.5,3.5,hard,1-5,0.20866666666666667,0.12466666666666666,0.17066666666666666,0.0,0.36980070719754804,0.29916888451182166
low,1.5,3.5,hard,6-10,0.18733333333333335,0.15066666666666667,0.16066666666666665,0.005333333333333333,0.33046800388351566,0.308933956249046
low,1.5,3.5,hard,11-25,0.16533333333333333,0.15866666666666668,0.15422222222222223,0.048888888888888885,0.32283782195641303,0.31210803283741795
low,1.5,3.5,hard,26-50,0.156,0.15813333333333332,0.16946666666666668,0.18453333333333333,0.31899506006699524,0.31396638565029233
low,1.5,3.5,hard,51-150,0.16013333333333332,0.15580000000000002,0.15763333333333332,0.6168666666666667,0.3163306600289226,0.31430161123924893
low,1.5,3.5,soft,1-5,0.22266666666666665,0.11199999999999999,0.17266666666666666,0.0,0.37100383091111033,0.30032975287563446
low,1.5,3.5,soft,6-10,0.17866666666666667,0.16266666666666665,0.15933333333333333,0.003333333333333333,0.33179988644277886,0.3088868601414613
low,1.5,3.5,soft,11-25,0.17155555555555557,0.156,0.14777777777777779,0.042444444444444444,0.32244415022426093,0.3127685410575104
low,1.5,3.5,soft,26-50,0.1668,0.15933333333333335,0.1501333333333333,0.19733333333333333,0.31866065739167776,0.3137869114692479
low,1.5,3.5,soft,51-150,0.16226666666666664,0.16419999999999998,0.15430000000000002,0.615,0.31674204630723635,0.3140370733156593
low,3.0,2.0,hard,1-5,0.23933333333333334,0.10866666666666668,0.17866666666666667,0.33666666666666667,0.4306212450754461,0.28474553944950726
low,3.0,2.0,hard,6-10,0.21066666666666667,0.12133333333333333,0.16466666666666666,0.598,0.37461698330671533,0.2981417314921053
low,3.0,2.0,hard,11-25,0.208,0.14666666666666667,0.15244444444444444,0.8204444444444444,0.34832492631559736,0.30715940604991904
low,3.0,2.0,hard,26-50,0.1732,0.15319999999999998,0.1522666666666667,0.916,0.33019901192367224,0.31266051260016053
low,3.0,2.0,hard,51-150,0.16643333333333335,0.15583333333333335,0.15580000000000002,0.9678,0.3196824574485028,0.31388587555819975
low,3.0,2.0,soft,1-5,0.248,0.11666666666666665,0.17666666666666667,0.31933333333333336,0.41796539468714317,0.2874122259788479
low,3.0,2.0,soft,6-10,0.19266666666666665,0.156,0.15266666666666667,0.5553333333333333,0.3589075220181543,0.2950963640575806
