listener,psi_star,alpha,c,switch_type,mean_abias,abias_r150,std_150
cred,inf,3.0,3.5,hard_amnesic,0.010587478118538857,0.0005535726497570663,0.0011643918576747906
cred,inf,3.0,3.5,soft,0.010587478118538857,0.0005535726497570663,0.0011643918576747906
cred,inf,10.0,2.0,hard,0.011611370918187832,0.00039431009689966856,0.0011315671197348102
cred,inf,10.0,2.0,hard_amnesic,0.011611370918187832,0.00039431009689966856,0.0011315671197348102
cred,inf,10.0,2.0,soft,0.011611370918187832,0.00039431009689966856,0.0011315671197348102
cred,inf,10.0,3.5,hard,0.011611370918187832,0.00039431009689966856,0.0011315671197348102
cred,inf,10.0,3.5,hard_amnesic,0.011611370918187832,0.00039431009689966856,0.0011315671197348102
cred,inf,10.0,3.5,soft,0.011611370918187832,0.00039431009689966856,0.0011315671197348102
cred,low,1.5,2.0,hard,0.056889064374069376,0.04322678484519323,0.010162102929133804
cred,low,1.5,2.0,hard_amnesic,0.056889064374069376,0.04322678484519323,0.010162102929133804
cred,low,1.5,2.0,soft,0.056889064374069376,0.04322678484519323,0.010162102929133804
cred,low,1.5,3.5,hard,0.056889064374069376,0.04322678484519323,0.010162102929133804
cred,low,1.5,3.5,hard_amnesic,0.056889064374069376,0.04322678484519323,0.010162102929133804
cred,low,1.5,3.5,soft,0.056889064374069376,0.04322678484519323,0.010162102929133804
cred,low,3.0,2.0,hard,0.07438857478717964,0.061341970985134456,0.007214649824006755
cred,low,3.0,2.0,hard_amnesic,0.07438857478717964,0.061341970985134456,0.007214649824006755
cred,low,3.0,2.0,soft,0.07438857478717964,0.061341970985134456,0.007214649824006755
cred,low,3.0,3.5,hard,0.07438857478717964,0.061341970985134456,0.007214649824006755
cred,low,3.0,3.5,hard_amnesic,0.07438857478717964,0.061341970985134456,0.007214649824006755
cred,low,3.0,3.5,soft,0.07438857478717964,0.061341970985134456,0.007214649824006755
cred,low,10.0,2.0,hard,0.09100340104788542,0.06985451993346214,0.007831023707399253
cred,low,10.0,2.0,hard_amnesic,0.09100340104788542,0.06985451993346214,0.007831023707399253
cred,low,10.0,2.0,soft,0.09100340104788542,0.06985451993346214,0.007831023707399253
cred,low,10.0,3.5,hard,0.09100340104788542,0.06985451993346214,0.007831023707399253
cred,low,10.0,3.5,hard_amnesic,0.09100340104788542,0.06985451993346214,0.007831023707399253
cred,low,10.0,3.5,soft,0.09100340104788542,0.06985451993346214,0.007831023707399253
switch,high,1.5,2.0,hard,0.03210541521204843,0.006873381843169537,0.010054432506694013
switch,high,1.5,2.0,hard_amnesic,0.04019872240351307,0.012749892249703415,0.017309712766286036
switch,high,1.5,2.0,soft,0.04171352457208767,0.01715104605257512,0.01313648633365877
switch,high,1.5,3.5,hard,0.045624969583385536,0.01969117117424807,0.008263479652163426
switch,high,1.5,3.5,hard_amnesic,0.052179631749954505,0.028390116602182398,0.019080435327285462
switch,high,1.5,3.5,soft,0.053290118588010485,0.03557472186287246,0.010242418339880714
switch,high,3.0,2.0,hard,0.03837916628311079,0.011676659176747012,0.01127344028409804
switch,high,3.0,2.0,hard_amnesic,0.04193164502080945,0.014520426144202559,0.015088493773571372
switch,high,3.0,2.0,soft,0.04538170177314017,0.02132264976700148,0.013118142298632165
switch,high,3.0,3.5,hard,0.049371889554493974,0.02599593258400759,0.009459648399251818
switch,high,3.0,3.5,hard_amnesic,0.053102315917015086,0.029945294807354618,0.0137178586063294
switch,high,3.0,3.5,soft,0.058326371638377526,0.037748960629105585,0.011103966710881348
switch,high,10.0,2.0,hard,0.044779443213144955,0.019503958006699892,0.010262376117046942
switch,high,10.0,2.0,hard_amnesic,0.0477894016865227,0.021733747680981966,0.01264407217897722
switch,high,10.0,2.0,soft,0.05146243845853542,0.026165010924140624,0.01100248223560513
switch,high,10.0,3.5,hard,0.04765624372495547,0.02419973152875901,0.0107310681016335
switch,high,10.0,3.5,hard_amnesic,0.049521036062969113,0.02521179352204006,0.01226720060862391
switch,high,10.0,3.5,soft,0.052617623995608764,0.02902540623644989,0.010766178703390068
switch,inf,1.5,2.0,hard,0.015180499991940127,0.0008336164404948553,0.002199540726296465
switch,inf,1.5,2.0,hard_amnesic,0.01564336098485523,0.0011070651610692343,0.0024556530818473643
switch,inf,1.5,2.0,soft,0.0150083302191231,0.0008225712776184083,0.002131469509842701
switch,inf,1.5,3.5,hard,0.014857256423532967,0.0008138419240713119,0.0020741717839669166
switch,inf,1.5,3.5,hard_amnesic,0.014857256423532967,0.0008138419240713119,0.0020741717839669166
switch,inf,1.5,3.5,soft,0.014857256423532967,0.0008138419240713119,0.0020741717839669166
switch,inf,3.0,2.0,hard,0.010808831947578324,0.0005536714742581035,0.001172702288214577
switch,inf,3.0,2.0,hard_amnesic,0.011211914057830969,0.0007268857012192395,0.0016785199089451321
switch,inf,3.0,2.0,soft,0.010863980072173807,0.0005537224362293865,0.0011751643686011932
switch,inf,3.0,3.5,hard,0.01060177434636487,0.0005535726497570663,0.0011643918578263732
