listener,psi_star,alpha,c,switch_type,theta_star,mean_abias,abias_r150,std_150
switch,high,10.0,2.0,hard,0.9,0.06953380164504055,0.06677780548731489,0.003488908430468503
switch,high,10.0,2.0,hard_amnesic,0.1,0.035432538905077506,0.0014503404498100226,0.0033512923173262266
switch,high,10.0,2.0,hard_amnesic,0.3,0.04558208939366871,0.007246196766694388,0.015312028133727533
switch,high,10.0,2.0,hard_amnesic,0.5,0.06115668927629789,0.02419870893160502,0.026010205938170352
switch,high,10.0,2.0,hard_amnesic,0.7,0.02363661561475863,0.0030700274308522882,0.008760128629304139
switch,high,10.0,2.0,hard_amnesic,0.9,0.0731390752428108,0.07270346482594811,0.009786705876357852
switch,high,10.0,2.0,soft,0.1,0.03549535154634052,0.0013194371014833394,0.0030840965237873756
switch,high,10.0,2.0,soft,0.3,0.054612323262625266,0.013601657052834832,0.015550925024581375
switch,high,10.0,2.0,soft,0.5,0.07096739638845126,0.036414384841918945,0.02163258705404587
switch,high,10.0,2.0,soft,0.7,0.023483547833230794,0.003167029023170505,0.008794048258945015
switch,high,10.0,2.0,soft,0.9,0.07275357326202926,0.0763225466012955,0.005950754316666007
switch,high,10.0,3.5,hard,0.1,0.03128521922230721,0.0010190983613332057,0.002692487916016617
switch,high,10.0,3.5,hard,0.3,0.045279296403129894,0.007266098856925965,0.01539774055587865
switch,high,10.0,3.5,hard,0.5,0.0629561090618372,0.025177970031897225,0.02027029624247613
switch,high,10.0,3.5,hard,0.7,0.023815465731753273,0.0031912106275558813,0.00895044583321578
switch,high,10.0,3.5,hard,0.9,0.07494512820574976,0.08434427976608279,0.006344369960580328
switch,high,10.0,3.5,hard_amnesic,0.1,0.035432538905077506,0.0014503404498100226,0.0033512923173262266
switch,high,10.0,3.5,hard_amnesic,0.3,0.04677508640421761,0.008169952432314557,0.01588723672005775
switch,high,10.0,3.5,hard_amnesic,0.5,0.06702755235963398,0.029025930166244506,0.026976534221709394
switch,high,10.0,3.5,hard_amnesic,0.7,0.023658186980750857,0.003068286975224847,0.008752306947705317
switch,high,10.0,3.5,hard_amnesic,0.9,0.07471181566516562,0.08434445758660637,0.006368632836320861
switch,high,10.0,3.5,soft,0.1,0.03549535154634052,0.0013194371014833394,0.0030840965237873756
switch,high,10.0,3.5,soft,0.3,0.05482125617232588,0.013614085614681247,0.015858139851237258
switch,high,10.0,3.5,soft,0.5,0.07423028790619639,0.04268603225549062,0.0197635065492553
switch,high,10.0,3.5,soft,0.7,0.023440246962176458,0.0031631716092427914,0.00877772790184584
switch,high,10.0,3.5,soft,0.9,0.07510097739100459,0.08434430460135145,0.0063474226908245635
switch,inf,1.5,2.0,hard,0.1,0.009144728422164914,0.0006706517189741079,0.0008611120978330204
switch,inf,1.5,2.0,hard,0.3,0.018984517971509032,0.000623356799284619,0.0028758681520533475
switch,inf,1.5,2.0,hard,0.5,0.022981548342439862,0.002526714901129405,0.00516079720594765
switch,inf,1.5,2.0,hard,0.7,0.01696425448457399,0.0003473240137100042,0.002088917354255197
switch,inf,1.5,2.0,hard,0.9,0.007827450739012847,3.4769376141182326e-08,1.1008821393110325e-05
switch,inf,1.5,2.0,hard_amnesic,0.1,0.010165353686445286,0.0007053022583325649,0.0011171274612135887
switch,inf,1.5,2.0,hard_amnesic,0.3,0.019799189900524088,0.0010280674695968643,0.003507692676309186
switch,inf,1.5,2.0,hard_amnesic,0.5,0.02320152442653974,0.0025278324882189434,0.005188311220263131
switch,inf,1.5,2.0,hard_amnesic,0.7,0.016857177601920226,0.0012740888198216579,0.0024539693144106423
switch,inf,1.5,2.0,hard_amnesic,0.9,0.008193559308846814,3.4769376141182326e-08,1.1164737040273802e-05
switch,inf,1.5,2.0,soft,0.1,0.009200665468143089,0.0006706679860750778,0.0008624367823535558
switch,inf,1.5,2.0,soft,0.3,0.018752351544466285,0.0005950823426246662,0.0026879875671814565
switch,inf,1.5,2.0,soft,0.5,0.02298128423094749,0.002527544895807902,0.005161183957049313
switch,inf,1.5,2.0,soft,0.7,0.01623808913032213,0.0003195263942082545,0.0019347289244251442
switch,inf,1.5,2.0,soft,0.9,0.007869260721736507,3.4769376141182326e-08,1.101031820403738e-05
switch,inf,1.5,3.5,hard,0.1,0.00917996760871675,0.0006706517189741079,0.0008611121158548711
switch,inf,1.5,3.5,hard,0.3,0.018570260303715867,0.0006074330210685745,0.00270007105973491
switch,inf,1.5,3.5,hard,0.5,0.02300611980424987,0.002526615560054779,0.00515794636545858
switch,inf,1.5,3.5,hard,0.7,0.015654649533828092,0.00026447455088295747,0.0016407207764738512
switch,inf,1.5,3.5,hard,0.9,0.007875284867154251,3.4769376141182326e-08,1.1008602312371589e-05
switch,inf,1.5,3.5,hard_amnesic,0.1,0.00917996760871675,0.0006706517189741079,0.0008611121158548711
switch,inf,1.5,3.5,hard_amnesic,0.3,0.018570260303715867,0.0006074330210685745,0.00270007105973491
switch,inf,1.5,3.5,hard_amnesic,0.5,0.02300611980424987,0.002526615560054779,0.00515794636545858
switch,inf,1.5,3.5,hard_amnesic,0.7,0.015654649533828092,0.00026447455088295747,0.0016407207764738512
switch,inf,1.5,3.5,hard_amnesic,0.9,0.007875284867154251,3.4769376141182326e-08,1.1008602312371589e-05
switch,inf,1.5,3.5,soft,0.1,0.00917996760871675,0.0006706517189741079,0.0008611121158548711
switch,inf,1.5,3.5,soft,0.3,0.018570260303715867,0.0006074330210685745,0.00270007105973491
switch,inf,1.5,3.5,soft,0.5,0.02300611980424987,0.002526615560054779,0.00515794636545858
switch,inf,1.5,3.5,soft,0.7,0.015654649533828092,0.00026447455088295747,0.0016407207764738512
switch,inf,1.5,3.5,soft,0.9,0.007875284867154251,3.4769376141182326e-08,1.1008602312371589e-05
switch,inf,3.0,2.0,hard,0.1,0.005872886013653539,9.798755248332143e-07,4.435029298244057e-05
switch,inf,3.0,2.0,hard,0.3,0.01370554983019829,0.0013105031847953825,0.001207924093796464
switch,inf,3.0,2.0,hard,0.5,0.013680120064152613,0.0010475382208824159,0.003144595910028632
switch,inf,3.0,2.0,hard,0.7,0.015464508257309578,0.00040931224822995385,0.0014643990610541853
switch,inf,3.0,2.0,hard,0.9,0.005321095572577605,2.384185793236071e-08,2.2420832111643327e-06
switch,inf,3.0,2.0,hard_amnesic,0.1,0.006131835304200644,6.488213936432323e-07,3.7001295301680726e-05
switch,inf,3.0,2.0,hard_amnesic,0.3,0.013184900674555038,0.001310276190439863,0.0012015266853874589
switch,inf,3.0,2.0,hard_amnesic,0.5,0.0158227396607399,0.0017663220564524333,0.00499630590978389
switch,inf,3.0,2.0,hard_amnesic,0.7,0.015300936421420823,0.0004089516401290627,0.0014449129205786448
switch,inf,3.0,2.0,hard_amnesic,0.9,0.0056191582282384455,0.00014822979768119488,0.0007128527336739854
switch,inf,3.0,2.0,soft,0.1,0.00611399510585599,1.481051246319624e-06,5.364947813879343e-05
switch,inf,3.0,2.0,soft,0.3,0.013788534970747102,0.0013106690843900073,0.0012115089943714945
switch,inf,3.0,2.0,soft,0.5,0.013584152923689948,0.0010470146934191385,0.003141457096353406
switch,inf,3.0,2.0,soft,0.7,0.015491689203182838,0.00040942351023353453,0.0014669621851680858
switch,inf,3.0,2.0,soft,0.9,0.00534152815739316,2.384185793236071e-08,2.2440889741866715e-06
switch,inf,3.0,3.5,hard,0.1,0.006250260601441061,9.798755248332143e-07,4.435024001339845e-05
switch,inf,3.0,3.5,hard,0.3,0.012487938104404345,0.0013103939096132944,0.0012031408263889413
switch,inf,3.0,3.5,hard,0.5,0.013852806289990744,0.0010475382208824159,0.003144595910028632
switch,inf,3.0,3.5,hard,0.7,0.01510269432862598,0.0004089274009068555,0.0014276302124320258
switch,inf,3.0,3.5,hard,0.9,0.0053151724073622186,2.384185793236071e-08,2.2421002688677304e-06
switch,inf,3.0,3.5,hard_amnesic,0.1,0.006250260601441061,9.798755248332143e-07,4.435024001339845e-05
switch,inf,3.0,3.5,hard_amnesic,0.3,0.012487938104404345,0.0013103939096132944,0.0012031408263889413
switch,inf,3.0,3.5,hard_amnesic,0.5,0.013852806289990744,0.0010475382208824159,0.003144595910028632
switch,inf,3.0,3.5,hard_amnesic,0.7,0.01507620981269411,0.0004089274009068555,0.0014276692445188625
switch,inf,3.0,3.5,hard_amnesic,0.9,0.0053151724073622186,2.384185793236071e-08,2.2421002688677304e-06
switch,inf,3.0,3.5,soft,0.1,0.006250260601441061,9.798755248332143e-07,4.435024001339845e-05
switch,inf,3.0,3.5,soft,0.3,0.012487938104404345,0.0013103939096132944,0.0012031408263889413
switch,inf,3.0,3.5,soft,0.5,0.013852806289990744,0.0010475382208824159,0.003144595910028632
switch,inf,3.0,3.5,soft,0.7,0.015041299023893128,0.0004089274009068555,0.0014276133157181902
switch,inf,3.0,3.5,soft,0.9,0.0053151724073622186,2.384185793236071e-08,2.2421002688677304e-06
switch,inf,10.0,2.0,hard,0.1,0.00550851838704612,5.463759098859692e-09,4.908710086815038e-06
switch,inf,10.0,2.0,hard,0.3,0.014631204857760007,2.806474765142027e-05,0.0006181631973655991
switch,inf,10.0,2.0,hard,0.5,0.014344844793279965,0.0009354894359906514,0.0021808661043299558
